genus,n,beta,SE,OR,CI_lower,CI_upper,p_value,converged,prevalence,p_FDR,significance
Faecalibacterium,44,0.5955189686643314,0.3619486722243557,1.8139720954007243,0.8923468034159086,3.6874618145058204,0.0999052160219879,TRUE,1,0.28098342006184096,P >= 0.05
Butyricicoccus,44,0.5762127949161234,0.3679190978748152,1.7792871292762176,0.8651013278233661,3.6595281807894753,0.1173158588954598,TRUE,1,0.3105419794291583,P >= 0.05
unclassified_Porphyromonadaceae,44,-0.4918672732893133,0.33383996457747445,0.6114835206429181,0.3178443110885111,1.1764001524436083,0.14065332553010432,TRUE,0.4772727272727273,0.3516333138252608,P >= 0.05
unclassified_Coriobacteriaceae,44,-0.5462623360828642,0.3808995668325364,0.5791102899267847,0.27449410681120884,1.2217702295872754,0.15153304068778095,TRUE,0.8409090909090909,0.358894043734218,P >= 0.05
Barnesiella,44,-0.4924866890508324,0.35193136016620474,0.6111048753938467,0.3065813462777712,1.218107928822824,0.16169822459308653,TRUE,0.5681818181818182,0.3601222290707666,P >= 0.05
Oscillibacter,44,-0.5837447757734155,0.4234717846459292,0.5578055936549993,0.2432295883469912,1.2792320310509424,0.1680570402330244,TRUE,1,0.3601222290707666,P >= 0.05
Collinsella,44,-0.4818262439230669,0.3622930500508958,0.6176543736422293,0.30363753075209543,1.2564221699946814,0.18353965527994748,TRUE,0.8181818181818182,0.37542202216352893,P >= 0.05
Coprococcus,44,-0.4695600960713231,0.3660933585322568,0.6252772697186216,0.30510384686691283,1.2814380023117729,0.19962386817880712,TRUE,0.7954545454545454,0.39056843774114436,P >= 0.05
Dorea,44,0.4648363273502367,0.37460888954929444,1.5917536410292061,0.763839877529946,3.317029822955797,0.21465831918366984,TRUE,0.9545454545454546,0.39917595334462286,P >= 0.05
unclassified_Firmicutes,44,-0.40951458418988596,0.34140227593792316,0.6639724746602337,0.34004985321142145,1.296455337189445,0.23033067741996743,TRUE,0.9545454545454546,0.39917595334462286,P >= 0.05
Clostridium.XI,44,-0.42908378206916337,0.35795021834791824,0.6511053759401331,0.3228181200973969,1.3132416806412115,0.2306349952657821,TRUE,0.8863636363636364,0.39917595334462286,P >= 0.05
Roseburia,44,0.34130533433126237,0.34411854337701453,1.4067827143516503,0.7166504958683849,2.7615101319375253,0.32128295673015383,TRUE,1,0.5084221701580861,P >= 0.05
Erysipelotrichaceae_incertae_sedis,44,-0.37924094976088185,0.38385820849625973,0.6843806914342572,0.32251583653613286,1.4522602543753154,0.323166632093358,TRUE,0.8863636363636364,0.5084221701580861,P >= 0.05
Bilophila,44,-0.35713201032068836,0.36484534620351655,0.6996801266398792,0.3422448409397949,1.4304153665852213,0.3276498429907666,TRUE,0.7045454545454546,0.5084221701580861,P >= 0.05
Clostridium.XVIII,44,-0.30260414764530463,0.35236356437741073,0.7388915304384952,0.37037594048086775,1.4740717041309654,0.3904597648440707,TRUE,0.8863636363636364,0.5856896472661061,P >= 0.05
Veillonella,44,-0.24507384113194694,0.3329652385690677,0.7826467445865851,0.40751166997846344,1.5031126025037547,0.4617098151769444,TRUE,0.6136363636363636,0.6512702330426334,P >= 0.05
Prevotella,44,0.26272666757677454,0.358079712064752,1.3004712094207909,0.6446101470705285,2.6236406209524543,0.4631254990525393,TRUE,0.5909090909090909,0.6512702330426334,P >= 0.05
Ruminococcus,44,0.24712759036418477,0.36034231777758413,1.280342461718145,0.6318246647746634,2.594512228899956,0.4928307847811316,TRUE,0.9318181818181818,0.660717638511434,P >= 0.05
Butyricimonas,44,-0.22367122280960752,0.3310043262770758,0.7995779741589774,0.4179306780013751,1.5297391898042736,0.49920888243086126,TRUE,0.5227272727272727,0.660717638511434,P >= 0.05
Parasutterella,44,-0.20375653553731554,0.33721035835387925,0.8156609314655381,0.4211825882936561,1.5796065022881909,0.5456830091419814,TRUE,0.7272727272727273,0.6946456059127861,P >= 0.05
Anaerovorax,44,-0.20787036295678807,0.3527915318619212,0.8123123356558287,0.40683736605256066,1.621904440737578,0.5557164847302289,TRUE,0.7045454545454546,0.6946456059127861,P >= 0.05
Parabacteroides,44,0.18042261669302684,0.3341733054227237,1.1977234340941352,0.6221605740423716,2.30574145072804,0.5892609434140361,TRUE,0.9772727272727273,0.7166687149630169,P >= 0.05
unclassified_Erysipelotrichaceae,44,0.1586805403441346,0.33393418660108715,1.1719634918185085,0.6090648898966646,2.255093749351505,0.634655066622599,TRUE,0.8409090909090909,0.7496308571731434,P >= 0.05
unclassified_Clostridiales_Incertae.Sedis.XIII,44,0.1568609408535105,0.3453514624107386,1.1698329266212872,0.5945039459353646,2.301934386750248,0.6496800762167243,TRUE,0.8181818181818182,0.7496308571731434,P >= 0.05
unclassified_Ruminococcaceae,44,-0.12213547012031323,0.37580630467748755,0.8850284654684736,0.42370584458414007,1.8486301161558258,0.745184251456113,TRUE,1,0.8383322828881271,P >= 0.05
Alistipes,44,-0.10107471575709681,0.34980169376203596,0.9038654973679623,0.45535131570732207,1.794159386721405,0.7726206984588594,TRUE,0.9772727272727273,0.845234905892801,P >= 0.05
Clostridium.sensu.stricto,44,0.08889627528878069,0.33200281296629774,1.0929672827308368,0.570165141534123,2.0951429578907996,0.7888859121666143,TRUE,0.7045454545454546,0.845234905892801,P >= 0.05
Anaerotruncus,44,-0.05557568112939762,0.3493595842895013,0.9459404311211962,0.47696104106914755,1.8760511282514376,0.8736068409721727,TRUE,0.7727272727272727,0.9142397172964598,P >= 0.05
Streptococcus,44,-0.044428343455154874,0.3460673881544096,0.9565441402859995,0.48542988284852867,1.8848792063363498,0.8978477727204015,TRUE,0.9090909090909091,0.9182534039185924,P >= 0.05
Akkermansia,44,0.01648986710775668,0.3335350979379047,1.0166265753663242,0.5287503298190788,1.9546646790645044,0.9605689100948959,TRUE,0.75,0.9605689100948959,P >= 0.05
